"","country_code","country","GDP_PPP_millions","Population_thousands","Per_Capita"
"173","GRD","Grenada",1321,106,12462.2641509434
"174","KNA","St. Kitts and Nevis",1277,55,23218.1818181818
"175","SLB","Solomon Islands",1219,572,2131.11888111888
"176","VCT","St. Vincent and the Grenadines",1173,109,10761.4678899083
"177","WSM","Samoa",1111,192,5786.45833333333
"178","COM","Comoros",1101,770,1429.87012987013
"179","DMA","Dominica",787,72,10930.5555555556
"180","VUT","Vanuatu",785,259,3030.88803088803
"181","STP","São Tomé and Principe",592,186,3182.79569892473
"182","TON","Tonga",550,106,5188.67924528302
"183","FSM","Micronesia, Fed. Sts.",347,104,3336.53846153846
"184","PLW","Palau",311,21,14809.5238095238
"185","MHL","Marshall Islands",201,53,3792.45283018868
"186","KIR","Kiribati",200,110,1818.18181818182
"187","TUV","Tuvalu",37,10,3700
"188","ABW","Aruba",0,103,0
"189","ASM","American Samoa",0,55,0
"190","ADO","Andorra",0,73,0
"191","AGO","Angola",0,24228,0
"192","ARG","Argentina",0,42980,0
"193","CYM","Cayman Islands",0,59,0
"194","CHI","Channel Islands",0,163,0
"195","CUW","Curaçao",0,156,0
"196","FRO","Faeroe Islands",0,48,0
"197","PYF","French Polynesia",0,280,0
"198","GRL","Greenland",0,56,0
"199","GUM","Guam",0,168,0
"200","IMY","Isle of Man",0,87,0
"201","PRK","Korea, Dem. Rep.",0,25027,0
"202","LIE","Liechtenstein",0,37,0
"203","MCO","Monaco",0,38,0
"204","MMR","Myanmar",0,53437,0
"205","NCL","New Caledonia",0,266,0
"206","NZL","New Zealand",0,4510,0
"207","MNP","Northern Mariana Islands",0,55,0
"208","SMR","San Marino",0,32,0
"209","SXM","Sint Maarten (Dutch part)",0,38,0
"210","SOM","Somalia",0,10518,0
"211","MAF","St. Martin (French part)",0,32,0
"212","SYR","Syrian Arab Republic",0,22158,0
"213","TCA","Turks and Caicos Islands",0,34,0
"214","VIR","Virgin Islands (U.S.)",0,104,0
